customer_id,first_name,last_name,gender,birthdate,age,country,signup_date
C000001,Stuart,Daniel,M,1943-12-09,82,Nigeria,2022-01-14
C000002,Tracey,Garcia,F,1953-11-24,72,Mexico,2020-05-31
C000003,Matthew,Hensley,F,1994-01-01,32,India,2019-06-29
C000004,James,West,F,2004-10-01,21,Mexico,2020-07-12
C000005,Joshua,Wright,F,2009-07-08,17,Philippines,2023-07-15
C000006,Scott,Callahan,M,1940-03-23,86,United Kingdom,2021-04-20
C000007,Brent,Kidd,F,1959-04-25,67,South Africa,2023-01-05
C000008,Tanya,House,F,1988-02-12,38,South Africa,2023-02-02
C000009,Gabriel,Tucker,M,1945-12-15,80,Mexico,2019-04-14
C000010,Richard,Brown,F,1988-02-18,38,Brazil,2020-04-09
C000011,Tricia,Baker,M,1986-10-07,39,India,2022-09-14
C000012,Spencer,Henderson,F,1969-05-03,57,Nigeria,2023-09-28
C000013,Wendy,Peters,M,1988-05-15,38,South Africa,2022-04-23
C000014,Eric,Phillips,F,1985-04-22,41,Brazil,2023-10-23
C000015,Beth,Daniels,M,1949-10-21,76,Kenya,2022-06-27
C000016,Brian,Silva,M,1971-03-15,55,United Kingdom,2021-01-06
C000017,Melissa,Moore,F,2011-04-22,15,South Africa,2023-10-06
C000018,Christopher,Lopez,M,1947-04-27,79,United States,2021-07-27
C000019,Emma,Young,M,1991-05-03,35,Nigeria,2018-09-20
C000020,Pamela,Sanchez,M,2012-12-11,13,Nigeria,2021-07-25
C000021,Christine,Barnes,M,1990-11-15,35,Kenya,2021-07-02
C000022,Alexandra,Donovan,F,1971-12-18,54,Mexico,2019-03-24
C000023,Jennifer,Allen,F,2014-07-19,12,United Kingdom,2020-05-16
C000024,Emily,Evans,F,1957-09-16,69,India,2019-11-24
C000025,Karen,Jones,M,1954-03-21,72,Kenya,2020-09-30
C000026,Yolanda,Ferrell,M,1994-10-03,31,United Kingdom,2018-06-10
C000027,Jason,Baker,F,1999-09-09,27,Mexico,2023-08-06
C000028,Nicole,Suarez,M,1941-11-24,84,India,2020-03-20
C000029,Eric,Bass,M,2008-05-25,18,South Africa,2022-03-21
C000030,Cheryl,Archer,F,1995-03-15,31,United States,2021-12-03
C000031,Alan,Montoya,M,1973-09-25,52,Kenya,2019-10-18
C000032,Elizabeth,Mcmillan,M,1953-11-10,72,Mexico,2018-10-22
C000033,Darrell,Rodriguez,M,1959-06-25,67,Kenya,2021-04-26
C000034,Joseph,Jacobs,M,2007-01-20,19,South Africa,2022-04-21
C000035,James,Walters,F,1954-06-27,72,Brazil,2019-08-02
C000036,Tracy,Whitehead,F,1970-10-03,55,India,2023-01-27
C000037,Christopher,Henderson,M,1948-09-25,78,Kenya,2019-08-29
C000038,Adam,Wise,F,2000-09-06,26,Brazil,2021-10-27
C000039,Jose,Figueroa,M,1994-04-18,32,Nigeria,2021-04-23
C000040,Ronald,Smith,M,1991-11-21,34,South Africa,2018-06-14
C000041,Nicole,Mckee,F,2006-08-04,20,Nigeria,2021-04-09
C000042,Mary,Aguilar,F,1983-01-19,43,Mexico,2018-11-21
C000043,David,Parker,F,1968-01-03,58,United States,2023-05-23
C000044,Laura,Valencia,F,1944-06-03,82,Mexico,2023-05-23
C000045,Jason,Wright,F,2002-04-18,24,Kenya,2018-08-14
C000046,Kimberly,Henson,M,2013-10-16,12,Nigeria,2020-06-08
C000047,Christine,Moore,M,1992-04-04,34,India,2023-07-30
C000048,Michelle,Cherry,M,1985-07-14,41,Philippines,2022-11-11
C000049,Nicole,Johnson,M,1946-11-21,79,India,2022-06-02
C000050,Martin,Galvan,F,1983-02-08,43,Nigeria,2022-10-23
C000051,Michelle,Cochran,F,1997-03-14,29,Kenya,2019-08-08
C000052,Kristin,Rodriguez,F,1971-02-15,55,Mexico,2023-03-26
C000053,Michele,Walker,F,2009-01-03,17,Nigeria,2022-11-24
C000054,Steven,Torres,F,2002-08-07,24,United Kingdom,2022-10-08
C000055,Jeremy,Johnson,M,1961-07-01,65,United Kingdom,2019-02-27
C000056,Mark,Lin,F,1998-05-14,28,Mexico,2023-10-19
C000057,Joshua,May,M,2002-03-07,24,Brazil,2020-05-25
C000058,Tina,Herrera,F,1947-10-24,78,Mexico,2023-08-19
C000059,Darrell,Waller,F,1980-01-02,46,Indonesia,2019-01-27
C000060,Sydney,Baker,F,2007-03-02,19,Mexico,2018-08-26
C000061,Ryan,Chandler,F,1963-02-20,63,India,2019-11-18
C000062,Catherine,Dixon,M,1970-07-04,56,Indonesia,2020-04-23
C000063,Barbara,Scott,F,1945-10-03,80,United Kingdom,2022-04-02
C000064,Aaron,Frost,M,2012-09-11,13,Brazil,2021-03-25
C000065,Jennifer,Harmon,F,1980-04-09,46,United Kingdom,2022-01-08
C000066,Michael,Jones,F,1978-08-11,48,India,2021-12-25
C000067,Mark,Edwards,F,2012-02-03,14,Mexico,2023-02-01
C000068,Jennifer,Evans,F,1973-03-12,53,India,2019-11-09
C000069,Ricky,Powell,M,1987-05-06,39,Philippines,2019-10-10
C000070,David,Fisher,M,1978-10-26,47,Mexico,2023-08-22
C000071,Erica,Orr,F,2010-05-22,16,India,2021-09-09
C000072,Kevin,Kelley,M,1957-05-04,69,India,2018-01-01
C000073,Justin,Jordan,M,1959-05-10,67,Indonesia,2021-06-24
C000074,Diana,Marshall,F,1983-04-22,43,Brazil,2020-08-26
C000075,Jason,Kennedy,M,1972-01-03,54,United Kingdom,2023-05-28
C000076,Laura,Jackson,M,1945-01-11,81,Kenya,2018-07-05
C000077,Zachary,Schultz,M,1973-03-24,53,Philippines,2020-01-05
C000078,Loretta,Potter,M,1994-09-01,32,India,2022-01-13
C000079,Jeffrey,Gonzalez,F,1959-09-02,67,South Africa,2018-02-23
C000080,John,Alvarez,M,1958-07-05,68,United States,2023-02-04
C000081,Charles,Perry,F,1945-06-07,81,Nigeria,2021-10-11
C000082,James,Horton,M,1985-09-28,40,United Kingdom,2020-12-18
C000083,John,Douglas,M,1959-04-28,67,Kenya,2018-01-13
C000084,Karen,Carrillo,M,1962-07-01,64,Kenya,2018-08-22
C000085,Ronald,Thompson,M,1982-07-26,44,Nigeria,2023-09-29
C000086,April,Williams,F,1953-07-28,73,United States,2019-06-30
C000087,Melinda,Bryant,M,1968-04-27,58,Philippines,2022-10-22
C000088,Elizabeth,Travis,F,1969-04-01,57,Nigeria,2021-07-28
C000089,Stephanie,Vance,F,1975-02-25,51,Brazil,2021-09-03
C000090,Jennifer,Wagner,F,2005-07-22,21,Mexico,2022-12-24
C000091,Amy,Merritt,F,1943-02-09,83,Kenya,2022-06-17
C000092,Thomas,Green,M,1973-01-04,53,Indonesia,2019-06-26
C000093,Dana,Cannon,F,1980-07-20,46,Mexico,2021-02-15
C000094,Courtney,Hill,F,2013-04-09,13,United States,2018-06-19
C000095,Justin,Nelson,M,1940-09-26,86,Mexico,2019-12-02
C000096,Amber,Taylor,M,1965-06-14,61,India,2019-05-22
C000097,Heather,Mccarthy,M,1982-10-11,43,India,2018-05-21
C000098,Rick,Daniels,M,1978-09-10,48,United Kingdom,2020-06-29
C000099,Jamie,Fisher,F,1977-09-05,49,Nigeria,2023-06-05
C000100,Brandy,Dominguez,F,1988-11-24,37,Kenya,2023-02-20
C000101,Kathy,James,M,1978-07-18,48,United States,2018-01-13
C000102,Michael,Molina,F,1966-07-26,60,Indonesia,2023-02-13
C000103,Stephanie,Barnes,M,1981-08-15,45,Philippines,2022-06-26
C000104,Amy,Morrison,M,2005-08-26,21,Kenya,2019-04-28
C000105,Jeffrey,Graham,M,1976-09-22,49,Indonesia,2018-03-05
C000106,Matthew,Shelton,F,1970-11-10,55,Nigeria,2020-06-04
C000107,Frederick,Mcdonald,M,1958-01-02,68,Nigeria,2018-10-07
C000108,Cindy,Johnson,Other,1949-08-14,77,Indonesia,2020-05-12
C000109,Anne,Johnson,F,1989-08-13,37,Nigeria,2021-11-08
C000110,Derek,Murray,F,1940-02-25,86,United Kingdom,2018-04-21
C000111,Nicholas,Lewis,F,2006-08-02,20,Mexico,2019-12-17
C000112,Kathleen,Gray,F,1955-08-05,71,Philippines,2022-07-05
C000113,Marie,King,M,2011-10-11,14,Philippines,2018-06-29
C000114,Andrew,Ryan,M,2004-07-27,22,Mexico,2023-12-30
C000115,Michael,Santos,F,1960-12-28,65,Philippines,2022-09-07
C000116,Denise,Webster,F,1971-11-09,54,Mexico,2023-09-11
C000117,James,Smith,F,1970-05-15,56,India,2018-11-30
C000118,David,Caldwell,M,1970-05-11,56,South Africa,2021-05-20
C000119,Jeffery,Lyons,M,1950-03-05,76,Nigeria,2022-08-07
C000120,Gary,Lawson,F,1959-12-07,66,India,2022-06-26
C000121,Danny,Weiss,F,1982-09-15,44,United Kingdom,2023-10-14
